Date,AMD,BTC,ETH,Gold,LTC,NVIDIA,Palladium,XLM,XRP,SP500,N225
2016-01-04,2.7699999809265137,7143.580078125,320.8840026855469,1075.0999755859375,64.26969909667969,8.092499732971191,542.9500122070312,0.03994600102305412,0.21748800575733185,2012.6600341796875,18450.98046875
2016-01-05,2.75,7143.580078125,320.8840026855469,1078.4000244140625,64.26969909667969,8.22249984741211,535.0999755859375,0.03994600102305412,0.21748800575733185,2016.7099609375,18374.0
2016-01-06,2.509999990463257,7143.580078125,320.8840026855469,1091.9000244140625,64.26969909667969,7.882500171661377,505.04998779296875,0.03994600102305412,0.21748800575733185,1990.260009765625,18191.3203125
2016-01-07,2.2799999713897705,7143.580078125,320.8840026855469,1107.699951171875,64.26969909667969,7.570000171661377,493.0,0.03994600102305412,0.21748800575733185,1943.0899658203125,17767.33984375
2016-01-08,2.140000104904175,7143.580078125,320.8840026855469,1097.800048828125,64.26969909667969,7.40749979019165,493.6000061035156,0.03994600102305412,0.21748800575733185,1922.030029296875,17697.9609375
2016-01-11,2.3399999141693115,7143.580078125,320.8840026855469,1096.5,64.26969909667969,7.420000076293945,474.29998779296875,0.03994600102305412,0.21748800575733185,1923.6700439453125,17697.9609375
2016-01-12,2.390000104904175,7143.580078125,320.8840026855469,1085.5999755859375,64.26969909667969,7.545000076293945,469.8999938964844,0.03994600102305412,0.21748800575733185,1938.6800537109375,17218.9609375
2016-01-13,2.25,7143.580078125,320.8840026855469,1087.5,64.26969909667969,7.315000057220459,486.54998779296875,0.03994600102305412,0.21748800575733185,1890.280029296875,17715.630859375
2016-01-14,2.2100000381469727,7143.580078125,320.8840026855469,1073.9000244140625,64.26969909667969,7.167500019073486,491.1499938964844,0.03994600102305412,0.21748800575733185,1921.8399658203125,17240.94921875
2016-01-15,2.0299999713897705,7143.580078125,320.8840026855469,1091.5,64.26969909667969,6.777500152587891,486.95001220703125,0.03994600102305412,0.21748800575733185,1880.3299560546875,17147.109375
2016-01-18,2.0299999713897705,7143.580078125,320.8840026855469,1091.5,64.26969909667969,6.777500152587891,486.95001220703125,0.03994600102305412,0.21748800575733185,1880.3299560546875,16955.5703125
2016-01-19,1.9500000476837158,7143.580078125,320.8840026855469,1089.9000244140625,64.26969909667969,6.832499980926514,496.79998779296875,0.03994600102305412,0.21748800575733185,1881.3299560546875,17048.369140625
2016-01-20,1.7999999523162842,7143.580078125,320.8840026855469,1107.0999755859375,64.26969909667969,6.869999885559082,487.75,0.03994600102305412,0.21748800575733185,1859.3299560546875,16416.189453125
2016-01-21,2.0899999141693115,7143.580078125,320.8840026855469,1099.0999755859375,64.26969909667969,6.949999809265137,497.75,0.03994600102305412,0.21748800575733185,1868.989990234375,16017.259765625
2016-01-22,2.0199999809265137,7143.580078125,320.8840026855469,1097.199951171875,64.26969909667969,7.112500190734863,498.3999938964844,0.03994600102305412,0.21748800575733185,1906.9000244140625,16958.529296875
2016-01-25,2.119999885559082,7143.580078125,320.8840026855469,1106.199951171875,64.26969909667969,7.105000019073486,489.70001220703125,0.03994600102305412,0.21748800575733185,1877.0799560546875,17110.91015625
2016-01-26,2.069999933242798,7143.580078125,320.8840026855469,1121.699951171875,64.26969909667969,7.175000190734863,491.75,0.03994600102305412,0.21748800575733185,1903.6300048828125,16708.900390625
2016-01-27,2.130000114440918,7143.580078125,320.8840026855469,1116.0999755859375,64.26969909667969,7.090000152587891,500.54998779296875,0.03994600102305412,0.21748800575733185,1882.949951171875,17163.919921875
2016-01-28,2.0799999237060547,7143.580078125,320.8840026855469,1115.5999755859375,64.26969909667969,7.012499809265137,491.0,0.03994600102305412,0.21748800575733185,1893.3599853515625,17041.44921875
2016-01-29,2.200000047683716,7143.580078125,320.8840026855469,1116.4000244140625,64.26969909667969,7.322500228881836,497.5,0.03994600102305412,0.21748800575733185,1940.239990234375,17518.30078125
2016-02-01,2.140000104904175,7143.580078125,320.8840026855469,1127.9000244140625,64.26969909667969,7.324999809265137,501.6000061035156,0.03994600102305412,0.21748800575733185,1939.3800048828125,17865.23046875
2016-02-02,1.9900000095367432,7143.580078125,320.8840026855469,1127.300048828125,64.26969909667969,7.014999866485596,490.6000061035156,0.03994600102305412,0.21748800575733185,1903.030029296875,17750.6796875
2016-02-03,2.069999933242798,7143.580078125,320.8840026855469,1141.300048828125,64.26969909667969,7.050000190734863,516.8499755859375,0.03994600102305412,0.21748800575733185,1912.530029296875,17191.25
2016-02-04,2.0899999141693115,7143.580078125,320.8840026855469,1157.5999755859375,64.26969909667969,7.052499771118164,516.8499755859375,0.03994600102305412,0.21748800575733185,1915.449951171875,17044.990234375
2016-02-05,1.9800000190734863,7143.580078125,320.8840026855469,1157.800048828125,64.26969909667969,6.607500076293945,499.6499938964844,0.03994600102305412,0.21748800575733185,1880.050048828125,16819.58984375
2016-02-08,1.9299999475479126,7143.580078125,320.8840026855469,1197.9000244140625,64.26969909667969,6.304999828338623,519.0499877929688,0.03994600102305412,0.21748800575733185,1853.43994140625,17004.30078125
2016-02-09,1.899999976158142,7143.580078125,320.8840026855469,1198.699951171875,64.26969909667969,6.372499942779541,517.7999877929688,0.03994600102305412,0.21748800575733185,1852.2099609375,16085.4404296875
2016-02-10,1.840000033378601,7143.580078125,320.8840026855469,1194.699951171875,64.26969909667969,6.357500076293945,525.0,0.03994600102305412,0.21748800575733185,1851.8599853515625,15713.3896484375
